seed,experiment,variant,device,fault,backend,queue_depth,num_devices,t_submit,t_policy_start,t_policy_end,t_execute,t_commit,outcome,reason,ground_truth_unsafe,policy_ms,e2e_ms,sim_e2e_ms,sim_mttr_ms,rollback_success
1,backend,inline,0,,inline,48,200,179.483905655,179.48390994,179.483913373,179.483913853,179.483948471,ADMITTED,,False,0.0034330000175941677,0.042815999989898046,4.636040687123969,1.28,1
1,backend,inline,1,,inline,28,200,179.483964258,179.483967441,179.483970171,179.483970678,179.483985999,ADMITTED,,False,0.0027300000056129647,0.021741000011843425,5.428385581078669,1.28,1
1,backend,inline,2,,inline,6,200,179.483997375,179.483999052,179.4840305,179.484030969,179.484043386,ADMITTED,,False,0.03144799998722192,0.04601099999490543,4.2106125886587655,1.28,1
1,backend,inline,3,,inline,27,200,179.484053909,179.484055648,179.484056722,179.48405697,179.484065384,ADMITTED,,False,0.001073999982281748,0.011474999979554923,5.648103800525696,1.28,1
1,backend,inline,4,boundary_setpoint,inline,17,200,179.48407736,179.484079108,179.484079729,,,REJECT,G1,,0.0006209999980910652,,0.12309063562562143,,
1,backend,inline,5,,inline,6,200,179.4840874,179.484088455,179.484089323,179.484089507,179.484098757,ADMITTED,,False,0.0008680000007643685,0.011357000005318696,4.184517601695402,1.28,1
1,backend,inline,6,partial_corruption,inline,150,200,179.484106747,179.484107558,179.484108174,,,THROTTLE,G3,,0.0006159999941246497,,0.12308563562165502,,
1,backend,inline,7,,inline,27,200,179.484113569,179.484114164,179.484114653,179.484114806,179.484120902,ADMITTED,,False,0.000489000001380191,0.007333000013431956,5.1782174643537076,1.28,1
1,backend,inline,8,,inline,31,200,179.484125631,179.48412622,179.484126686,179.484126819,179.484132273,ADMITTED,,False,0.0004659999888190214,0.006641999988232783,4.589104536131495,1.28,1
1,backend,inline,9,,inline,14,200,179.484136873,179.484137516,179.484137994,179.484138142,179.484143123,ADMITTED,,False,0.00047800000402276055,0.006249999984220267,6.0274365462139405,1.28,1
1,backend,inline,10,,inline,26,200,179.484147735,179.484148262,179.484148705,179.484148832,179.484154026,ADMITTED,,False,0.00044300000467956124,0.0062910000053761905,5.967289760571985,1.28,1
1,backend,inline,11,,inline,40,200,179.484159027,179.484159893,179.484160403,179.484160611,179.484165768,ADMITTED,,False,0.0005100000066704524,0.006740999992871366,4.364759555245814,1.28,1
1,backend,inline,12,,inline,46,200,179.484170715,179.484171238,179.484171684,179.484171808,179.484176625,ADMITTED,,False,0.0004460000013750687,0.005909999998721105,5.9957968092278255,1.28,1
1,backend,inline,13,,inline,42,200,179.484181308,179.484181827,179.484182231,179.484182373,179.484189959,ADMITTED,,False,0.00040400001921625517,0.0086510000016915,4.729610657512582,1.28,1
1,backend,inline,14,,inline,31,200,179.484204513,179.484205353,179.484205865,179.484206018,179.484211988,ADMITTED,,False,0.0005120000139413605,0.007474999989653952,4.909688881781151,1.28,1
1,backend,inline,15,,inline,30,200,179.484216777,179.484217368,179.484217789,179.484217929,179.484222855,ADMITTED,,False,0.00042100000996470044,0.006078000012621487,5.610351946223892,1.28,1
1,backend,inline,16,,inline,42,200,179.484227361,179.484227889,179.484228313,179.484228443,179.48423258,ADMITTED,,False,0.00042399997823849844,0.005219000001943641,4.857141298459945,1.28,1
1,backend,inline,17,,inline,49,200,179.484236969,179.484237515,179.484237986,179.484238119,179.484242578,ADMITTED,,False,0.00047100002120714635,0.005608999998685249,4.2958758151052345,1.28,1
1,backend,inline,18,,inline,6,200,179.484247014,179.484247466,179.484247886,179.484248054,179.484252955,ADMITTED,,False,0.0004199999921183917,0.005940999983522488,5.164766470845939,1.28,1
1,backend,inline,19,,inline,31,200,179.484257228,179.484257829,179.484258191,179.484258349,179.484265769,ADMITTED,,False,0.00036200000863573223,0.008540999999695487,5.061471917842215,1.28,1
1,backend,inline,20,,inline,39,200,179.484269873,179.484270527,179.484270998,179.48427116,179.48427593,ADMITTED,,False,0.0004709999927854369,0.006057000007331226,5.279292446218685,1.28,1
1,backend,inline,21,,inline,10,200,179.484279938,179.484280433,179.484280843,179.484281,179.484308458,ADMITTED,,False,0.0004099999841855606,0.028520000000753498,4.576754327665461,1.28,1
1,backend,inline,22,corrupted_meta,inline,34,200,179.484317927,179.484319404,179.484320282,,,REJECT,G2,,0.0008780000086971995,,0.12334763563622757,,
1,backend,inline,23,,inline,32,200,179.48432552,179.484326241,179.484327053,179.48432725,179.484335426,ADMITTED,,False,0.0008119999961309077,0.009906000002501969,6.028216412160201,1.28,1
1,backend,inline,24,,inline,29,200,179.484344419,179.484345151,179.484345865,179.484346002,179.484351045,ADMITTED,,False,0.000713999980916924,0.006626000015330646,5.441613262848096,1.28,1
1,backend,inline,25,,inline,46,200,179.484355885,179.484356653,179.484357139,179.484357267,179.484361848,ADMITTED,,False,0.0004860000046846835,0.005962999978237349,4.890334901412295,1.28,1
1,backend,inline,26,,inline,47,200,179.484366668,179.484367667,179.484368198,179.484368455,179.484372802,ADMITTED,,False,0.0005310000119607139,0.006133999988833239,5.741280437384451,1.28,1
1,backend,inline,27,,inline,35,200,179.484377149,179.484377829,179.484378275,179.484378415,179.484382812,ADMITTED,,False,0.0004460000013750687,0.005662999996047802,4.975096995005206,1.28,1
1,backend,inline,28,multi_vector,inline,23,200,179.484389018,179.484389634,179.484390013,,,REJECT,G1,,0.0003789999993841775,,0.12284863562691455,,
1,backend,inline,29,,inline,32,200,179.484394405,179.484395056,179.484395549,179.484395692,179.484400962,ADMITTED,,False,0.0004929999875002977,0.006557000006068847,5.0928128600705,1.28,1
1,backend,inline,30,,inline,22,200,179.484405672,179.484406322,179.484406813,179.484406994,179.484412074,ADMITTED,,False,0.0004909999802293896,0.006401999996796803,5.199918227083448,1.28,1
