seed,experiment,variant,device,fault,backend,queue_depth,num_devices,t_submit,t_policy_start,t_policy_end,t_execute,t_commit,outcome,reason,ground_truth_unsafe,policy_ms,e2e_ms,sim_e2e_ms,sim_mttr_ms,rollback_success
1,baseline,GA-RT,0,,inline,48,200,337.081557041,337.081562921,337.081566115,337.081566534,337.081611415,ADMITTED,,False,0.003193999987161078,0.054374000001189415,4.635801687093536,1.28,1
1,baseline,GA-RT,1,,inline,28,200,337.081623958,337.081625352,337.081626484,337.081626763,337.081636621,ADMITTED,,False,0.0011320000226078264,0.012662999949952791,5.426787581095664,1.28,1
1,baseline,GA-RT,2,,inline,6,200,337.081644521,337.081645564,337.081646342,337.081646529,337.081653041,ADMITTED,,False,0.0007780000146340171,0.008519999994405225,4.179942588686178,1.28,1
1,baseline,GA-RT,3,,inline,27,200,337.081659162,337.081659941,337.081660605,337.081660803,337.081666516,ADMITTED,,False,0.0006640000265178969,0.007353999990300508,5.647693800569932,1.28,1
1,baseline,GA-RT,4,boundary_setpoint,inline,17,200,337.081673865,337.081674643,337.081675279,,,REJECT,G1,,0.0006360000384120212,,0.12310563566594239,,
1,baseline,GA-RT,5,,inline,6,200,337.081681287,337.081681898,337.081682447,337.081682648,337.081688162,ADMITTED,,False,0.0005489999921337585,0.006874999996853148,4.184198601686772,1.28,1
1,baseline,GA-RT,6,partial_corruption,inline,150,200,337.081694114,337.081694669,337.081695335,,,THROTTLE,G3,,0.0006660000053670956,,0.12313563563289746,,
1,baseline,GA-RT,7,,inline,27,200,337.081700103,337.081700568,337.08170099,337.081701138,337.081706014,ADMITTED,,False,0.0004220000278110092,0.005911000016567414,5.178150464380138,1.28,1
1,baseline,GA-RT,8,,inline,31,200,337.081710413,337.081710956,337.081711421,337.081711561,337.08171687,ADMITTED,,False,0.0004650000278161315,0.006456999983583955,4.589103536170492,1.28,1
1,baseline,GA-RT,9,,inline,14,200,337.081721475,337.081722101,337.081722555,337.081722733,337.081727702,ADMITTED,,False,0.0004539999736152822,0.006227000028502516,6.027412546183533,1.28,1
1,baseline,GA-RT,10,,inline,26,200,337.081732553,337.081733061,337.081733511,337.081733651,337.08173855,ADMITTED,,False,0.000449999959073466,0.005997000016577658,5.967296760526379,1.28,1
