seed,experiment,variant,device,fault,backend,queue_depth,num_devices,t_submit,t_policy_start,t_policy_end,t_execute,t_commit,outcome,reason,ground_truth_unsafe,policy_ms,e2e_ms,sim_e2e_ms,sim_mttr_ms,rollback_success
1,network,loss0_jit0,0,,inline,48,200,868.493204145,868.493210136,868.493222379,868.493222849,868.493277229,ADMITTED,,False,0.012243000014677818,0.0730839999505406,4.644850687121052,1.28,1
1,network,loss0_jit0,1,,inline,28,200,868.493289986,868.493291472,868.49329485,868.493295083,868.493305129,ADMITTED,,False,0.003377999973963597,0.015142999927775236,5.42903358104702,1.28,1
1,network,loss0_jit0,2,,inline,6,200,868.493313114,868.493314147,868.49331687,868.493317084,868.49332498,ADMITTED,,False,0.0027229999659539317,0.011866000022564549,4.1818875886374975,1.28,1
1,network,loss0_jit0,3,,inline,27,200,868.493331154,868.493332221,868.493334376,868.493334583,868.49334119,ADMITTED,,False,0.002155000061065948,0.010036000048785354,5.6491848006044805,1.28,1
1,network,loss0_jit0,4,boundary_setpoint,inline,17,200,868.493348331,868.493349072,868.493350622,,,REJECT,G1,,0.0015499999790336005,,0.12401963560656397,,
1,network,loss0_jit0,5,,inline,6,200,868.493356197,868.4933568,868.493358871,868.493359028,868.493365923,ADMITTED,,False,0.0020710000399049022,0.009726000030241266,4.185720601734543,1.28,1
1,network,loss0_jit0,6,partial_corruption,inline,150,200,868.493372057,868.493372564,868.493374339,,,THROTTLE,G3,,0.001774999986992043,,0.12424463561452241,,
1,network,loss0_jit0,7,,inline,27,200,868.493379431,868.493379925,868.493381702,868.493381859,868.493388103,ADMITTED,,False,0.0017769999658412416,0.008672000035403471,5.179505464318169,1.28,1
1,network,loss0_jit0,8,,inline,31,200,868.493392807,868.493393269,868.493394942,868.493395086,868.493400088,ADMITTED,,False,0.0016730000425013714,0.0072810000801837305,4.590311536185177,1.28,1
1,network,loss0_jit0,9,,inline,14,200,868.493404607,868.493405051,868.493407169,868.493407344,868.493412544,ADMITTED,,False,0.002117999997608422,0.007936999963931157,6.029076546207526,1.28,1
1,network,loss0_jit0,10,,inline,26,200,868.493417336,868.493417823,868.493419889,868.493420051,868.493425944,ADMITTED,,False,0.0020660000927819056,0.008608000030108087,5.968912760660087,1.28,1
1,network,loss0_jit0,11,,inline,40,200,868.493431018,868.493431728,868.493433964,868.493434216,868.493439661,ADMITTED,,False,0.0022360000002663583,0.008643000001029577,4.36648555523941,1.28,1
1,network,loss0_jit0,12,,inline,46,200,868.493444566,868.493445544,868.493447199,868.493447364,868.493452329,ADMITTED,,False,0.0016550000054849079,0.0077629999850614695,5.997005809231935,1.28,1
1,network,loss0_jit0,13,,inline,42,200,868.493457548,868.493458236,868.493459931,868.493460093,868.493465061,ADMITTED,,False,0.0016949999235293944,0.007513000014114368,4.730901657416895,1.28,1
1,network,loss0_jit0,14,,inline,31,200,868.493469747,868.493470418,868.493472314,868.493472512,868.493477302,ADMITTED,,False,0.0018959999579237774,0.007555000024694891,4.911072881725134,1.28,1
1,network,loss0_jit0,15,,inline,30,200,868.493481664,868.493482267,868.493484142,868.493484287,868.493489098,ADMITTED,,False,0.0018750000663203537,0.007434000053763157,5.611805946280247,1.28,1
1,network,loss0_jit0,16,,inline,42,200,868.493494149,868.493494681,868.493496475,868.493496635,868.493500851,ADMITTED,,False,0.0017940000134331058,0.006702000064251479,4.85851129849514,1.28,1
1,network,loss0_jit0,17,,inline,49,200,868.493505582,868.49350609,868.493507734,868.493507885,868.493512455,ADMITTED,,False,0.0016440000081274775,0.006872999961160531,4.297048815092155,1.28,1
1,network,loss0_jit0,18,,inline,6,200,868.493517102,868.493517593,868.493519184,868.49351932,868.493524208,ADMITTED,,False,0.0015910000001895241,0.007105999998202606,5.1659374708540104,1.28,1
1,network,loss0_jit0,19,,inline,31,200,868.493529296,868.493529823,868.49353145,868.493531596,868.493536734,ADMITTED,,False,0.0016269999605356134,0.007438000011461554,5.062736917794115,1.28,1
