seed,experiment,variant,device,fault,backend,queue_depth,num_devices,t_submit,t_policy_start,t_policy_end,t_execute,t_commit,outcome,reason,ground_truth_unsafe,policy_ms,e2e_ms,sim_e2e_ms,sim_mttr_ms,rollback_success
1,scalability,n10,0,,inline,48,10,337.955046684,337.955050387,337.955053364,337.955053746,337.955088503,ADMITTED,,False,0.002977000008286268,0.04181899998911831,4.517515794104958,1.28,1
1,scalability,n10,1,,inline,28,10,337.955110928,337.95511251,337.95511378,337.955114078,337.955124888,ADMITTED,,False,0.001269999984288006,0.013959999989765493,5.3088566880476415,1.28,1
1,scalability,n10,2,,inline,6,10,337.955133748,337.955134819,337.955135677,337.955135891,337.95514237,ADMITTED,,False,0.000857999964409828,0.008621999995739316,4.061953695626251,1.28,1
1,scalability,n10,3,,inline,27,10,337.955148345,337.955149132,337.955149793,337.955149951,337.955155329,ADMITTED,,False,0.00066100000140068,0.006983999981002853,5.5296219075351125,1.28,1
1,scalability,n10,4,boundary_setpoint,inline,17,10,337.955162826,337.955163621,337.955164221,,,REJECT,G1,,0.0006000000212225132,,0.0050007426390505675,,
1,scalability,n10,5,,inline,6,10,337.955170159,337.955170687,337.955171326,337.955171468,337.955177365,ADMITTED,,False,0.0006390000066858192,0.0072060000206874975,4.066219708691621,1.28,1
1,scalability,n10,6,partial_corruption,inline,150,10,337.955183536,337.955184042,337.955184901,,,THROTTLE,G3,,0.0008590000106778461,,0.0052597426285059005,,
1,scalability,n10,7,,inline,27,10,337.955189724,337.955190273,337.955190784,337.955190963,337.95519627,ADMITTED,,False,0.0005109999960950518,0.006546000008711417,5.06017057133872,1.28,1
1,scalability,n10,8,,inline,31,10,337.955201133,337.955201647,337.955202096,337.955202239,337.955206986,ADMITTED,,False,0.0004489999696488667,0.005853000004663045,4.471018643102622,1.28,1
1,scalability,n10,9,,inline,14,10,337.95521158,337.955212133,337.955212631,337.955212794,337.955217543,ADMITTED,,False,0.0004980000198884227,0.005962999978237349,5.9093876532201035,1.28,1
1,scalability,n50,0,,inline,48,50,337.955238088,337.955238828,337.955239575,337.955239742,337.955246812,ADMITTED,,False,0.0007470000014109246,0.008723999997073406,4.534415286642629,1.28,1
1,scalability,n50,1,,inline,28,50,337.955252266,337.955252923,337.955253415,337.955253587,337.955259128,ADMITTED,,False,0.0004920000264974078,0.006862000020646519,5.327208180634397,1.28,1
1,scalability,n50,2,,inline,6,50,337.955264013,337.955265058,337.955265688,337.955265864,337.955270813,ADMITTED,,False,0.0006299999881775875,0.006800000051043753,4.0808551881945645,1.28,1
1,scalability,n50,3,,inline,27,50,337.955275388,337.95527597,337.955276443,337.955276601,337.955280906,ADMITTED,,False,0.000473000000056345,0.0055179999662868795,5.548563400078314,1.28,1
1,scalability,n50,4,boundary_setpoint,inline,17,50,337.955286139,337.955286854,337.955287217,,,REJECT,G1,,0.00036299996963862213,,0.023893235132012643,,
1,scalability,n50,5,,inline,6,50,337.955291641,337.955292222,337.955292632,337.955292765,337.955297504,ADMITTED,,False,0.0004099999841855606,0.005863000012595876,4.085120201213667,1.28,1
1,scalability,n50,6,partial_corruption,inline,150,50,337.955329498,337.955331113,337.955332427,,,THROTTLE,G3,,0.0013139999737177277,,0.024844235136091748,,
