threshold,fpr,tpr
7.646242191915462624e-07,1.000000000000000000e+00,1.000000000000000000e+00
8.068297934587621845e-02,9.730259338107218881e-01,1.000000000000000000e+00
1.613651940675332463e-01,9.445277724017805410e-01,1.000000000000000000e+00
2.420474087891902604e-01,9.159570350299980346e-01,1.000000000000000000e+00
3.227296235108473299e-01,8.897813044319721199e-01,1.000000000000000000e+00
4.034118382325043717e-01,8.628556222179214474e-01,1.000000000000000000e+00
4.840940529541613579e-01,8.355186762144377610e-01,1.000000000000000000e+00
5.647762676758183442e-01,8.107944648732340331e-01,9.991427346763823714e-01
6.454584823974753860e-01,7.864815173214630972e-01,9.980175739391341505e-01
7.261406971191324278e-01,7.622653377201470404e-01,9.968388341191598556e-01
8.068229118407894696e-01,7.387749177472421325e-01,9.958744106300899679e-01
8.875051265624465113e-01,7.160344493903618712e-01,9.948028289755679321e-01
9.681873412841034421e-01,6.930278691697310256e-01,9.936776682383197112e-01
1.048869556005760595e+00,6.709889684536481935e-01,9.923381911701671942e-01
1.129551770727417637e+00,6.487323398490419946e-01,9.914273467638233805e-01
1.210233985449074678e+00,6.268143990710276503e-01,9.898199742820402713e-01
1.290916200170731720e+00,6.058399458099477108e-01,9.890698671238747908e-01
1.371598414892388762e+00,5.846477646603445155e-01,9.876232318902700147e-01
1.452280629614045804e+00,5.646167989161989809e-01,9.856943849121303503e-01
1.532962844335702846e+00,5.453599767756919237e-01,9.845156450921560554e-01
1.613645059057359887e+00,5.254015869943874373e-01,9.831761680240034273e-01
1.694327273779016929e+00,5.071850203212695529e-01,9.823724817831118727e-01
1.775009488500673971e+00,4.896942132765628175e-01,9.814616373767680590e-01
1.855691703222331013e+00,4.718163344300367879e-01,9.803900557222460233e-01
1.936373917943987832e+00,4.544706793110122045e-01,9.791041577368195803e-01
2.017056132665644874e+00,4.370524482291465174e-01,9.779254179168452854e-01
2.097738347387301694e+00,4.216663441068317919e-01,9.764787826832405093e-01
2.178420562108958958e+00,4.058931681826978832e-01,9.752464637805400294e-01
2.259102776830615777e+00,3.899990323204954312e-01,9.739605657951135864e-01
2.339784991552273041e+00,3.749032320495451764e-01,9.731033004714959578e-01
2.420467206273929861e+00,3.604364234565511915e-01,9.721924560651521441e-01
2.501149420995587125e+00,3.466227985291271407e-01,9.708529789969995161e-01
2.581831635717243945e+00,3.346235726727307958e-01,9.666202314616373359e-01
2.662513850438900764e+00,3.220921230888330045e-01,9.628161165880839700e-01
2.743196065160558028e+00,3.095848654925488774e-01,9.596549507072439367e-01
2.823878279882214848e+00,2.972953357847880618e-01,9.567616802400342735e-01
2.904560494603872112e+00,2.848606541513450940e-01,9.536005143591941291e-01
2.985242709325528931e+00,2.732968840719953718e-01,9.499035576510930223e-01
3.065924924047186195e+00,2.622411457325333761e-01,9.467423917702528779e-01
3.146607138768843015e+00,2.516450551577317785e-01,9.437955422203171407e-01
3.227289353490500279e+00,2.409038126572479177e-01,9.407415345049292554e-01
3.307971568212157099e+00,2.296545384168763304e-01,9.368838405486498155e-01
3.388653782933814362e+00,2.196874395200309749e-01,9.337226746678096712e-01
3.469335997655471182e+00,2.092606928585252490e-01,9.312044577796828593e-01
3.550018212377128446e+00,1.996806657634991322e-01,9.274003429061294934e-01
3.630700427098785266e+00,1.902457905941552230e-01,9.240248606943849419e-01
3.711382641820442529e+00,1.812705631894716563e-01,9.202743249035576500e-01
3.792064856542099349e+00,1.724888716856977089e-01,9.168452636090870245e-01
3.872747071263756169e+00,1.646264757112444466e-01,9.137376768109729541e-01
3.953429285985413433e+00,1.560383201083800908e-01,9.097728246892413662e-01
4.034111500707070697e+00,1.486113799109734790e-01,9.062901843120445555e-01
4.114793715428727516e+00,1.416198954906135177e-01,9.027539648521217819e-01
4.195475930150384336e+00,1.344590671569576290e-01,8.992177453921988972e-01
4.276158144872041156e+00,1.277820785755757749e-01,8.957351050150021976e-01
4.356840359593698864e+00,1.214195858331720557e-01,8.929489927132447935e-01
4.437522574315355683e+00,1.148393652022450112e-01,8.900557222460351303e-01
4.518204789037012503e+00,1.091058641377975619e-01,8.853943420488641358e-01
4.598887003758669323e+00,1.048722663053996557e-01,8.780004286326618113e-01
4.679569218480327031e+00,1.004693245597058221e-01,8.714637805400771153e-01
4.760251433201983851e+00,9.616315076446681209e-02,8.647663951993141973e-01
4.840933647923640670e+00,9.287304044900329680e-02,8.582297471067295014e-01
4.921615862645297490e+00,8.892974646796980576e-02,8.513716245177882502e-01
5.002298077366955198e+00,8.554286820205148079e-02,8.450492927561079615e-01
5.082980292088612018e+00,8.259144571317979244e-02,8.378696956708101551e-01
5.163662506810268837e+00,7.927714341010257126e-02,8.302078868409772383e-01
5.244344721531925657e+00,7.666440874782272374e-02,8.245820831547363561e-01
5.325026936253582477e+00,7.339849041997290047e-02,8.178311187312473640e-01
5.405709150975240185e+00,7.047125991871491801e-02,8.111873124732104090e-01
5.486391365696897005e+00,6.773756531836655492e-02,8.052400342906129715e-01
5.567073580418553824e+00,6.529417456938262088e-02,7.994534933561937562e-01
5.647755795140210644e+00,6.236694406812463842e-02,7.929168452636090603e-01
5.728438009861868352e+00,5.968163344300368017e-02,7.861658808401200682e-01
5.809120224583525172e+00,5.757693052061157307e-02,7.795756536648092982e-01
5.889802439305181991e+00,5.508515579640023418e-02,7.738426918131161569e-01
5.970484654026838811e+00,5.285949293593961845e-02,7.663951993141877583e-01
6.051166868748496519e+00,5.014999032320495431e-02,7.601264466352336546e-01
6.131849083470153339e+00,4.748887168569769501e-02,7.524110587226746638e-01
6.212531298191810158e+00,4.453744919682601361e-02,7.454457779682811536e-01
6.293213512913466978e+00,4.182794658409134947e-02,7.367123874839263120e-01
6.373895727635124686e+00,3.853783626862782724e-02,7.277111015859408782e-01
6.454577942356781506e+00,3.575575769305205931e-02,7.179597085297899639e-01
6.535260157078438326e+00,3.365105477065995915e-02,7.060115730818687929e-01
6.615942371800095145e+00,3.234468743952002845e-02,6.934204886412345115e-01
6.696624586521751965e+00,3.065124830656086596e-02,6.792220317188170098e-01
6.777306801243409673e+00,2.922392103735243010e-02,6.642198885555079535e-01
6.857989015965066493e+00,2.755467389200696657e-02,6.503964852121731921e-01
6.938671230686723312e+00,2.612734662279853071e-02,6.350728675525074696e-01
7.019353445408380132e+00,2.424037158892974539e-02,6.178204029147020826e-01
7.100035660130037840e+00,2.254693245597058290e-02,6.003536219459922885e-01
7.180717874851694660e+00,2.065995742210180106e-02,5.836905272181740489e-01
7.261400089573351480e+00,1.850687052448229258e-02,5.642413201885984053e-01
7.342082304295008299e+00,1.630539965163537927e-02,5.465602228889840930e-01
7.422764519016666007e+00,1.441842461776659569e-02,5.294684954993570392e-01
7.503446733738322827e+00,1.262821753435262179e-02,5.103407629661380618e-01
7.584128948459979647e+00,1.146700212889491081e-02,4.904093441920274188e-01
7.664811163181636466e+00,1.049932262434681574e-02,4.710137162451779047e-01
7.745493377903293286e+00,9.628411070253532072e-03,4.509215602228889841e-01
7.826175592624950994e+00,8.612347590478033887e-03,4.290612944706386767e-01
7.906857807346607814e+00,7.572092123088833282e-03,4.117552507501071601e-01
7.987540022068264634e+00,6.410876717631120575e-03,3.938062580368624221e-01
8.068222236789923230e+00,5.298045287400812708e-03,3.793934847835405133e-01
8.148904451511580049e+00,4.040061931488291187e-03,3.626768109729961442e-01
8.229586666233236869e+00,2.854654538416876493e-03,3.471388769824260701e-01
8.310268880954893689e+00,1.935359009096187339e-03,3.321903129018431433e-01
8.390951095676550509e+00,8.709115540932843135e-04,3.176703814830690309e-01
8.471633310398207328e+00,1.209599380685117087e-04,3.054007715387912492e-01
8.552315525119864148e+00,0.000000000000000000e+00,2.930775825117873934e-01
8.632997739841522744e+00,0.000000000000000000e+00,2.809687098156879448e-01
8.713679954563179564e+00,0.000000000000000000e+00,2.688598371195884962e-01
8.794362169284836384e+00,0.000000000000000000e+00,2.588941277325332302e-01
8.875044384006493203e+00,0.000000000000000000e+00,2.493034719245606490e-01
8.955726598728150023e+00,0.000000000000000000e+00,2.398735533647664009e-01
9.036408813449806843e+00,0.000000000000000000e+00,2.313544792113159110e-01
9.117091028171463662e+00,0.000000000000000000e+00,2.235319331333047443e-01
9.197773242893120482e+00,0.000000000000000000e+00,2.168345477925417986e-01
9.278455457614777302e+00,0.000000000000000000e+00,2.108336905272181760e-01
9.359137672336435898e+00,0.000000000000000000e+00,2.046720960137162482e-01
9.439819887058092718e+00,0.000000000000000000e+00,1.993677668238319767e-01
9.520502101779749538e+00,0.000000000000000000e+00,1.936348049721388631e-01
9.601184316501406357e+00,0.000000000000000000e+00,1.874732104586369352e-01
9.681866531223063177e+00,0.000000000000000000e+00,1.822224603514787933e-01
9.762548745944719997e+00,0.000000000000000000e+00,1.772931847406772343e-01
9.843230960666376816e+00,0.000000000000000000e+00,1.728461208744106192e-01
9.923913175388033636e+00,0.000000000000000000e+00,1.681311615945134952e-01
1.000459539010969223e+01,0.000000000000000000e+00,1.636840977282468801e-01
1.008527760483134905e+01,0.000000000000000000e+00,1.595585083583369035e-01
1.016595981955300587e+01,0.000000000000000000e+00,1.548435490784397794e-01
1.024664203427466269e+01,0.000000000000000000e+00,1.503429061294470626e-01
1.032732424899631951e+01,0.000000000000000000e+00,1.472353193313330477e-01
1.040800646371797633e+01,0.000000000000000000e+00,1.431097299614230711e-01
1.048868867843963315e+01,0.000000000000000000e+00,1.392520360051436035e-01
1.056937089316128997e+01,0.000000000000000000e+00,1.357693956279468483e-01
1.065005310788294679e+01,0.000000000000000000e+00,1.321795970852978896e-01
1.073073532260460539e+01,0.000000000000000000e+00,1.288576939562794677e-01
1.081141753732626221e+01,0.000000000000000000e+00,1.252143163309044072e-01
1.089209975204791903e+01,0.000000000000000000e+00,1.221603086155165080e-01
1.097278196676957585e+01,0.000000000000000000e+00,1.191063009001285949e-01
1.105346418149123267e+01,0.000000000000000000e+00,1.156236605229318537e-01
1.113414639621288948e+01,0.000000000000000000e+00,1.123553364766395196e-01
1.121482861093454630e+01,0.000000000000000000e+00,1.094620660094299119e-01
1.129551082565620312e+01,0.000000000000000000e+00,1.065152164594942164e-01
1.137619304037786172e+01,0.000000000000000000e+00,1.036219459922846087e-01
1.145687525509951854e+01,0.000000000000000000e+00,9.971067295327903923e-02
1.153755746982117536e+01,0.000000000000000000e+00,9.633519074153450157e-02
1.161823968454283218e+01,0.000000000000000000e+00,9.295970852978996390e-02
1.169892189926448900e+01,0.000000000000000000e+00,9.028075439348477726e-02
1.177960411398614582e+01,0.000000000000000000e+00,8.749464209172738705e-02
1.186028632870780264e+01,0.000000000000000000e+00,8.460137162451779325e-02
1.194096854342945946e+01,0.000000000000000000e+00,8.165452207458208378e-02
1.202165075815111628e+01,0.000000000000000000e+00,7.951135876553792892e-02
1.210233297287277487e+01,0.000000000000000000e+00,7.683240462923274228e-02
1.218301518759443169e+01,0.000000000000000000e+00,7.420702957565367130e-02
1.226369740231608851e+01,0.000000000000000000e+00,7.222460351478782181e-02
1.234437961703774533e+01,0.000000000000000000e+00,6.959922846120875084e-02
1.242506183175940215e+01,0.000000000000000000e+00,6.649164166309472213e-02
1.250574404648105897e+01,0.000000000000000000e+00,6.440205743677668293e-02
1.258642626120271579e+01,0.000000000000000000e+00,6.215173596228032449e-02
1.266710847592437261e+01,0.000000000000000000e+00,5.968709815687955195e-02
1.274779069064603121e+01,0.000000000000000000e+00,5.738319759965709171e-02
1.282847290536768803e+01,0.000000000000000000e+00,5.497213887698242790e-02
1.290915512008934485e+01,0.000000000000000000e+00,5.352550364337762406e-02
1.298983733481100167e+01,0.000000000000000000e+00,5.175739391341620255e-02
1.307051954953265849e+01,0.000000000000000000e+00,4.897128161165880539e-02
1.315120176425431531e+01,0.000000000000000000e+00,4.639948564080582927e-02
1.323188397897597213e+01,0.000000000000000000e+00,4.457779682811830596e-02
1.331256619369762895e+01,0.000000000000000000e+00,4.152378911273039291e-02
1.339324840841928577e+01,0.000000000000000000e+00,3.932704672096013626e-02
1.347393062314094436e+01,0.000000000000000000e+00,3.766609515645091832e-02
1.355461283786260118e+01,0.000000000000000000e+00,3.557651093013287913e-02
1.363529505258425800e+01,0.000000000000000000e+00,3.332618945563652069e-02
1.371597726730591482e+01,0.000000000000000000e+00,3.155807972567509917e-02
1.379665948202757164e+01,0.000000000000000000e+00,2.946849549935704957e-02
1.387734169674922846e+01,0.000000000000000000e+00,2.791470210030004215e-02
1.395802391147088528e+01,0.000000000000000000e+00,2.598585512216030832e-02
1.403870612619254210e+01,0.000000000000000000e+00,2.443206172310330090e-02
1.411938834091420070e+01,0.000000000000000000e+00,2.137805400771538786e-02
1.420007055563585752e+01,0.000000000000000000e+00,1.928846978139734172e-02
1.428075277035751434e+01,0.000000000000000000e+00,1.730604372053150611e-02
1.436143498507917116e+01,0.000000000000000000e+00,1.559151307329618465e-02
1.444211719980082798e+01,0.000000000000000000e+00,1.393056150878697018e-02
1.452279941452248480e+01,0.000000000000000000e+00,1.226960994427775398e-02
1.460348162924414162e+01,0.000000000000000000e+00,1.125160737248178354e-02
1.468416384396579843e+01,0.000000000000000000e+00,1.007286755250750079e-02
1.476484605868745525e+01,0.000000000000000000e+00,8.840548649807114523e-03
1.484552827340911385e+01,0.000000000000000000e+00,7.876125160737247610e-03
1.492621048813077067e+01,0.000000000000000000e+00,6.858122588941277173e-03
1.500689270285242749e+01,0.000000000000000000e+00,6.000857265323617309e-03
1.508757491757408431e+01,0.000000000000000000e+00,5.036433776253750397e-03
1.516825713229574113e+01,0.000000000000000000e+00,4.232747535362194925e-03
1.524893934701739795e+01,0.000000000000000000e+00,3.268324046292327579e-03
1.532962156173905477e+01,0.000000000000000000e+00,2.196742391770252750e-03
1.541030377646071159e+01,0.000000000000000000e+00,1.125160737248178354e-03
1.549098599118236841e+01,0.000000000000000000e+00,1.071581654522074558e-04
1.557166820590402700e+01,0.000000000000000000e+00,5.357908272610372791e-05
1.565235042062568382e+01,0.000000000000000000e+00,5.357908272610372791e-05
1.573303263534734064e+01,0.000000000000000000e+00,5.357908272610372791e-05
1.581371485006899746e+01,0.000000000000000000e+00,5.357908272610372791e-05
1.589439706479065428e+01,0.000000000000000000e+00,5.357908272610372791e-05
1.597507927951231110e+01,0.000000000000000000e+00,5.357908272610372791e-05
1.605576149423396615e+01,0.000000000000000000e+00,0.000000000000000000e+00
