idx,opa_decision,expected_decision,latency_ms
0,admit,admit,1.0406
1,reject,reject,0.9563
2,admit,admit,0.9892
3,reject,reject,0.8740
4,admit,admit,1.0131
5,admit,admit,1.1020
6,reject,reject,0.9292
7,reject,reject,0.9294
8,reject,reject,0.9174
9,reject,reject,0.9060
10,reject,reject,1.0777
11,admit,admit,0.9715
12,reject,reject,0.9570
13,reject,reject,1.0291
14,admit,admit,0.8888
15,reject,reject,0.9188
16,admit,admit,0.9125
17,reject,reject,0.8810
18,reject,reject,0.9364
19,admit,admit,1.1029
20,admit,admit,1.0123
21,admit,admit,0.9496
22,admit,admit,0.9311
23,admit,admit,0.9013
24,reject,reject,1.0507
25,admit,admit,1.2183
26,reject,reject,1.0250
27,admit,admit,0.9681
28,reject,reject,1.0655
29,reject,reject,0.9239
30,admit,admit,0.9939
31,admit,admit,1.9933
32,admit,admit,1.0879
33,reject,reject,0.9873
34,admit,admit,0.9551
35,admit,admit,1.0092
36,reject,reject,0.9264
37,reject,reject,0.8503
38,admit,admit,0.9606
39,admit,admit,0.9069
40,reject,reject,0.9572
41,admit,admit,0.9445
42,reject,reject,0.8744
43,admit,admit,0.8809
44,admit,admit,0.9636
45,admit,admit,1.1134
46,admit,admit,1.0710
47,reject,reject,0.8893
48,reject,reject,0.8923
49,reject,reject,0.9455
50,reject,reject,0.9163
51,reject,reject,1.0181
52,reject,reject,0.8804
53,reject,reject,0.9222
54,reject,reject,0.9121
55,admit,admit,1.1618
56,reject,reject,1.0316
57,reject,reject,0.9080
58,reject,reject,0.9608
59,reject,reject,0.9342
60,reject,reject,1.0199
61,reject,reject,0.8851
62,admit,admit,0.8864
63,reject,reject,0.8657
64,admit,admit,0.9426
65,admit,admit,0.8985
66,reject,reject,1.0500
67,reject,reject,0.8965
68,admit,admit,0.9654
69,admit,admit,0.8859
70,admit,admit,0.8642
71,reject,reject,1.0231
72,reject,reject,0.9887
73,admit,admit,0.9583
74,admit,admit,0.8987
75,admit,admit,1.0418
76,reject,reject,1.0196
77,admit,admit,1.0014
78,reject,reject,0.9380
79,admit,admit,0.9337
80,admit,admit,0.9310
81,reject,reject,0.9590
82,admit,admit,0.9486
83,admit,admit,0.9689
84,reject,reject,0.9684
85,reject,reject,0.8620
86,reject,reject,0.9698
87,reject,reject,1.0826
88,reject,reject,0.9999
89,reject,reject,0.9602
90,reject,reject,0.9251
91,reject,reject,0.9809
92,reject,reject,0.8441
93,reject,reject,0.8738
94,reject,reject,0.9897
95,reject,reject,0.8924
96,reject,reject,0.9018
97,admit,admit,1.0040
98,reject,reject,1.0901
99,reject,reject,0.8907
100,reject,reject,0.9148
101,admit,admit,0.8913
102,reject,reject,1.0761
103,admit,admit,0.9611
104,admit,admit,1.0154
105,reject,reject,0.9126
106,admit,admit,1.0097
107,reject,reject,1.0931
108,admit,admit,0.9010
109,admit,admit,0.9017
110,reject,reject,0.8337
111,admit,admit,0.8715
112,reject,reject,0.8577
113,reject,reject,0.8638
114,reject,reject,0.9081
115,reject,reject,0.9075
116,admit,admit,0.8869
117,admit,admit,0.9063
118,reject,reject,0.9192
119,reject,reject,0.9535
120,reject,reject,1.2078
121,admit,admit,1.1510
122,reject,reject,0.8458
123,admit,admit,1.0188
124,admit,admit,1.0461
125,reject,reject,0.8735
126,admit,admit,1.0591
127,reject,reject,0.9561
128,admit,admit,0.9046
129,reject,reject,1.0422
130,reject,reject,0.9365
131,admit,admit,1.0370
132,admit,admit,0.9310
133,reject,reject,1.0399
134,reject,reject,0.9132
135,reject,reject,0.9280
136,reject,reject,0.9711
137,reject,reject,0.9124
138,reject,reject,0.8928
139,admit,admit,1.0035
140,admit,admit,0.8729
141,admit,admit,0.9058
142,admit,admit,0.9106
143,admit,admit,0.8622
144,admit,admit,0.8470
145,reject,reject,0.9275
146,admit,admit,0.8883
147,reject,reject,0.9128
148,admit,admit,0.8810
149,admit,admit,0.9891
150,reject,reject,0.9116
151,reject,reject,0.8748
152,reject,reject,0.9430
153,reject,reject,1.0197
154,reject,reject,0.9175
155,admit,admit,0.9462
156,reject,reject,0.9797
157,reject,reject,0.9173
158,admit,admit,0.9355
159,reject,reject,0.8705
160,reject,reject,0.8634
161,admit,admit,0.9359
162,reject,reject,0.8853
163,admit,admit,0.9495
164,admit,admit,0.9446
165,reject,reject,0.9480
166,admit,admit,0.8576
167,reject,reject,1.0833
168,reject,reject,0.9601
169,reject,reject,0.8870
170,admit,admit,0.9473
171,reject,reject,1.0071
172,admit,admit,1.0249
173,admit,admit,0.9584
174,admit,admit,0.9425
175,admit,admit,0.9590
176,admit,admit,0.9217
177,reject,reject,0.9404
178,admit,admit,0.8909
179,admit,admit,0.9255
180,admit,admit,1.0390
181,reject,reject,0.9545
182,admit,admit,0.8866
183,admit,admit,0.9520
184,reject,reject,0.9080
185,admit,admit,0.8743
186,admit,admit,0.8718
187,reject,reject,0.9042
188,reject,reject,0.8803
189,admit,admit,0.8404
190,reject,reject,0.9365
191,reject,reject,1.0028
192,reject,reject,0.8718
193,admit,admit,0.8543
194,reject,reject,0.8499
195,admit,admit,0.8499
196,admit,admit,0.8547
197,admit,admit,0.9240
198,admit,admit,0.9881
199,admit,admit,0.8920
200,reject,reject,0.9814
201,admit,admit,1.0600
202,reject,reject,0.9986
203,admit,admit,1.0162
204,admit,admit,0.8816
205,admit,admit,0.8369
206,admit,admit,0.8067
207,admit,admit,0.8643
208,admit,admit,0.8851
209,admit,admit,0.8942
210,admit,admit,0.9487
211,admit,admit,0.9695
212,admit,admit,1.0263
213,admit,admit,0.9013
214,reject,reject,0.9080
215,admit,admit,0.9975
216,reject,reject,0.9552
217,admit,admit,1.4037
218,reject,reject,0.8606
219,reject,reject,0.8966
220,admit,admit,0.8915
221,reject,reject,0.9635
222,reject,reject,0.9612
223,admit,admit,1.0494
224,admit,admit,0.9313
225,admit,admit,0.9216
226,admit,admit,0.9452
227,admit,admit,0.9843
228,reject,reject,0.9629
229,reject,reject,0.9074
230,reject,reject,1.0543
231,admit,admit,0.9089
232,admit,admit,1.0331
233,admit,admit,0.9132
234,reject,reject,0.9084
235,admit,admit,0.9813
236,admit,admit,0.9461
237,admit,admit,0.9359
238,admit,admit,0.8632
239,reject,reject,1.0606
