admit_rate_pct,admitted,arm,audit_entries,audit_ok,availability_pct,failed_safe,failed_safe_minute,failed_safe_reason,fallback,intents,max_physical_recovery_s,median_detect_latency_s,median_gate_latency_us,median_physical_recovery_s,minutes,p99_gate_latency_us,peak_excursion_c,policy,regime,rejected,rollbacks,strict_exposure_c_min,unsafe_exposure_c_min,unsafe_minutes,unsafe_pct
100.0,9752,ungoverned,9752,True,100.0,False,,,safe_state,9752,,,0.8,,9752,1.4,3.75,UNGOVERNED,shift,0,0,1614.9,1185.3,936,9.6
96.9,9446,"shipped, no rollback",9752,True,100.0,False,,,safe_state,9752,,,4.5,,9752,7.6,3.75,SHIPPED,shift,306,0,1339.4,954.8,667,6.84
96.9,9446,shipped + rollback,9761,True,100.0,False,,,safe_state,9752,8760.0,0.0,4.5,3640.0,9752,7.4,3.81,SHIPPED,shift,306,9,1337.6,953.2,668,6.85
86.4,8425,corrected + rollback,9757,True,100.0,False,,,safe_state,9752,8760.0,0.0,5.2,3900.0,9752,8.7,3.81,CORRECTED,shift,1327,5,1109.6,727.7,426,4.37
88.2,8603,oracle + rollback,9753,True,100.0,False,,,safe_state,9752,490.0,155.0,5.1,490.0,9752,7.5,0.16,ORACLE,shift,1149,1,130.1,1.2,11,0.11
10.8,1049,"shipped, latching actuator",1053,True,10.8,True,1050,irreversible actuation,safe_state,9752,3020.0,125.0,4.5,3020.0,9752,7.6,3.63,SHIPPED,shift/irreversible,8703,1,6278.4,4951.7,1490,15.28
86.4,8425,"corrected, latching actuator",9757,True,100.0,False,,,safe_state,9752,8760.0,0.0,5.2,3900.0,9752,8.8,3.81,CORRECTED,shift/irreversible,1327,5,1109.6,727.7,426,4.37
100.0,2665,ungoverned,2665,True,100.0,False,,,safe_state,2665,,,0.9,,2665,1.4,2.4,UNGOVERNED,in-distribution,0,0,391.5,222.4,229,8.59
100.0,2665,"shipped, no rollback",2665,True,100.0,False,,,safe_state,2665,,,4.6,,2665,7.9,2.4,SHIPPED,in-distribution,0,0,391.5,222.4,229,8.59
100.0,2665,shipped + rollback,2670,True,100.0,False,,,safe_state,2665,7235.0,0.0,4.6,1080.0,2665,6.5,2.4,SHIPPED,in-distribution,0,5,390.7,221.5,229,8.59
85.4,2277,corrected + rollback,2665,True,100.0,False,,,safe_state,2665,,,5.2,,2665,8.6,0.13,CORRECTED,in-distribution,388,0,65.4,0.5,7,0.26
86.4,2303,oracle + rollback,2665,True,100.0,False,,,safe_state,2665,,,5.2,,2665,7.8,0.13,ORACLE,in-distribution,362,0,82.1,0.5,7,0.26
88.2,8603,oracle / hold,9758,True,100.0,False,,,hold,9752,8760.0,0.0,5.2,2820.0,9752,8.4,3.95,ORACLE,shift/fallback-ablation,1149,6,1346.0,924.8,434,4.45
88.2,8603,oracle / checkpoint,9757,True,100.0,False,,,checkpoint,9752,8760.0,0.0,5.2,3900.0,9752,7.2,3.95,ORACLE,shift/fallback-ablation,1149,5,1339.9,918.7,415,4.26
88.2,8603,oracle / safe_state,9753,True,100.0,False,,,safe_state,9752,490.0,155.0,5.1,490.0,9752,7.9,0.16,ORACLE,shift/fallback-ablation,1149,1,130.1,1.2,11,0.11
86.4,8425,corrected / hold,9758,True,100.0,False,,,hold,9752,8760.0,0.0,5.2,3460.0,9752,7.7,3.75,CORRECTED,shift/fallback-ablation,1327,6,1114.0,734.0,446,4.57
86.4,8425,corrected / checkpoint,9757,True,100.0,False,,,checkpoint,9752,8760.0,0.0,5.2,3900.0,9752,7.8,3.75,CORRECTED,shift/fallback-ablation,1327,5,1115.5,727.9,426,4.37
86.4,8425,corrected / safe_state,9757,True,100.0,False,,,safe_state,9752,8760.0,0.0,5.2,3900.0,9752,8.4,3.81,CORRECTED,shift/fallback-ablation,1327,5,1109.6,727.7,426,4.37
96.9,9446,"shipped, budget=unlimited",9761,True,100.0,False,,,safe_state,9752,8760.0,0.0,4.5,3640.0,9752,7.5,3.81,SHIPPED,shift/budget,306,9,1337.6,953.2,668,6.85
96.9,9446,"shipped, budget=10",9761,True,100.0,False,,,safe_state,9752,8760.0,0.0,4.5,3640.0,9752,6.6,3.81,SHIPPED,shift/budget,306,9,1337.6,953.2,668,6.85
96.9,9446,"shipped, budget=5",9761,True,100.0,False,,,safe_state,9752,8760.0,0.0,4.5,3640.0,9752,7.3,3.81,SHIPPED,shift/budget,306,9,1337.6,953.2,668,6.85
96.9,9446,"shipped, budget=3",9761,True,100.0,False,,,safe_state,9752,8760.0,0.0,4.5,3640.0,9752,7.3,3.81,SHIPPED,shift/budget,306,9,13
