C_scale,tau_h,slew_c_per_min,monitor_period_s,n_seeds,median_recovery_s,exposure_no_rollback,rollback_benefit_pct,rollback_benefit_min_pct,rollback_benefit_max_pct,rollback_benefit_spread_pct,rollbacks_mean,peak_no_rollback_c
0.005,0.015,41.44,1.0,3,1.5,938.7,99.0,99.0,99.0,0.0,638.3,3.44
0.005,0.015,41.44,5.0,3,2.2,938.7,95.4,95.3,95.5,0.1,635.7,3.44
0.005,0.015,41.44,30.0,3,3.2,938.7,53.2,53.2,53.2,0.0,617.3,3.44
0.01,0.03,20.72,1.0,3,2.0,936.8,98.9,98.9,98.9,0.0,636.3,3.42
0.01,0.03,20.72,5.0,3,2.2,936.8,43.3,43.2,43.3,0.1,391.3,3.42
0.01,0.03,20.72,30.0,3,6.5,936.8,56.1,56.1,56.2,0.1,616,3.42
0.02,0.06,10.36,1.0,3,3.0,935.3,94.8,92.2,98.4,6.3,587.7,3.43
0.02,0.06,10.36,5.0,3,7.5,935.3,95.0,94.9,95.0,0.1,620.3,3.43
0.02,0.06,10.36,30.0,3,13.0,935.3,30.4,30.2,30.5,0.3,313.3,3.43
0.03,0.09,6.91,1.0,3,4.0,942.1,98.3,98.3,98.3,0.0,552.3,3.45
0.03,0.09,6.91,5.0,3,5.0,942.1,96.9,96.8,97.0,0.2,544.3,3.45
0.03,0.09,6.91,30.0,3,15.0,942.1,26.2,26.1,26.3,0.3,280.3,3.45
0.05,0.15,4.14,1.0,3,6.0,949.8,34.5,29.9,38.3,8.3,260.3,3.47
0.05,0.15,4.14,5.0,3,7.5,949.8,33.5,26.4,37.1,10.7,254,3.47
0.05,0.15,4.14,30.0,3,10.0,949.8,16.9,16.7,17.2,0.5,123,3.47
0.075,0.225,2.76,1.0,3,8.5,955.0,33.2,30.4,36.8,6.4,249,3.48
0.075,0.225,2.76,5.0,3,12.5,955.0,29.6,25.4,33.5,8.1,228.7,3.48
0.075,0.225,2.76,30.0,3,15.0,955.0,15.3,15.2,15.4,0.3,100.7,3.48
0.1,0.3,2.07,1.0,3,11.5,958.4,28.7,25.2,33.6,8.4,205,3.48
0.1,0.3,2.07,5.0,3,15.0,958.4,24.9,24.0,25.5,1.5,184.3,3.48
0.1,0.3,2.07,30.0,3,15.0,958.4,15.2,15.0,15.4,0.4,95.3,3.48
0.15,0.45,1.38,1.0,3,15.5,963.1,4.8,1.2,9.9,8.7,42.7,3.48
0.15,0.45,1.38,5.0,3,15.0,963.1,2.2,1.0,3.7,2.7,25.3,3.48
0.15,0.45,1.38,30.0,3,20.0,963.1,14.7,14.5,15.2,0.7,87.3,3.48
0.25,0.75,0.83,1.0,3,763.0,969.4,0.9,0.5,1.5,1.0,17.7,3.52
0.25,0.75,0.83,5.0,3,787.5,969.4,1.4,0.4,2.9,2.4,21,3.52
0.25,0.75,0.83,30.0,3,25.0,969.4,2.7,0.9,6.1,5.2,25,3.52
0.5,1.5,0.41,1.0,3,3793.0,975.9,0.3,0.2,0.4,0.3,10.3,3.61
0.5,1.5,0.41,5.0,3,3295.0,975.9,0.3,0.3,0.4,0.1,10.3,3.61
0.5,1.5,0.41,30.0,3,2895.0,975.9,0.3,0.3,0.3,0.0,10.3,3.61
1.0,3.0,0.21,1.0,3,3702.0,954.8,0.2,0.2,0.3,0.1,10.7,3.75
1.0,3.0,0.21,5.0,3,3640.0,954.8,0.1,0.1,0.2,0.1,9.3,3.75
1.0,3.0,0.21,30.0,3,3600.0,954.8,0.4,0.2,0.6,0.4,9.3,3.75
